Brazilian Portuguese,English
vão,they go
hora,hour
ok,OK
outra,other
sair,to go out
toda,all
volta,return
problema,problem
obrigada,thanks
olá,hello
tipo,type
realmente,really
sabia,you knew
aconteceu,it happened
menos,any less
mulher,woman
algum,some
diga,say
falando,talking
espere,hang on
ótimo,excellent
carro,car
vezes,times
amigo,friend
primeiro,first
deveria,it should
seria,he would be
venha,come
três,three
entre,in between
daqui,from here
sério,serious
diz,it says
voltar,to go back
ah,ah
parte,part
amor,love
feliz,happy
às,to the
viu,it saw
embora,although
família,family
olhe,look
deixar,to leave
atrás,back
tenha,you have
faça,do
pensei,I thought
ajudar,to help
todas,all
olha,look
aquele,that one
duas,two
frente,front
vi,saw
indo,going
alguns,some
dias,days
fui,I went
vem,he comes
lado,side
podem,they can
fiz,I did
merda,Shit
nas,in the
pare,Stop
tarde,afternoon
gosto,I like
precisamos,we need
caso,case
fique,stay
dentro,inside
cidade,city
momento,time
pegar,to take
foram,they were
nenhum,none
gente,people
somos,are
amanhã,tomorrow
fosse,were
cabeça,head
gostaria,I would like
amigos,friends
mal,bad
enquanto,while
homens,men
logo,soon
deles,from them
desde,since
tanto,so much
garota,girl
pessoa,person
legal,Cool
amo,I love
rápido,fast
algumas,some
cada,each
jeito,way
tentando,trying
meio,quite
outros,others
têm,he has
medo,fear
minhas,my
importa,it matters
irmão,brother
errado,wrong
história,history
primeira,first
quase,almost
horas,hours
encontrar,meet
nova,new
essas,these
pessoal,guys
dá,from the
difícil,difficult
forma,form
contra,against
matar,to kill
semana,week
dizendo,say
perto,close
demais,too much
entrar,to enter
esses,those
deu,it gave
achei,I thought
deixe,leave
vejo,I see
polícia,police
espero,I expect
sido,has been
juntos,together
ajuda,help
ano,year
caminho,path
nisso,in that
elas,they
quiser,he wants
crianças,children
manhã,morning
for,either
aquela,that one
sorte,luck
morte,death
pensar,think
papai,daddy
aos,to the
ali,there
veja,look
fica,he is
teve,he had
quarto,room
levar,to take
filha,daughter
feito,done
minutos,minutes
morto,dead
porta,door
tive,I had
entendo,I understand
cima,top
acabou,he finished
tá,OK
chegar,to arrive
num,on one
veio,he came
água,water
mesma,same
dê,in
significa,means
teria,it would have
pronto,ready
esposa,wife
vir,come over
acredito,I believe
ouvir,to hear
gosta,he likes
morrer,to die
nossos,ours
olhos,eyes
coração,heart
contar,tell
importante,important
jogo,game
acontecendo,happening
razão,reason
mãos,hands
devo,owe
ideia,idea
consigo,with you
idiota,idiot
passar,to spend
havia,there was
problemas,problems
parar,to stop
senhora,madam
fim,end
corpo,body
chefe,boss
poder,power
mamãe,mommy
ia,ia
cuidado,Careful
começar,to start
espera,wait
ficou,it was left
conta,account
exatamente,exactly
arma,weapon
longe,far away
escola,school
tentar,to try
pois,then
terra,Earth
droga,damn it
ontem,yesterday
pensando,thinking
única,only
devia,should
sendo,being
causa,cause
guerra,war
chance,chance
usar,to use
marido,husband
mão,hand
tal,such
numa,in
trabalhar,to work
música,music
esperar,wait
querem,want
uns,some
nenhuma,none
tivesse,have
digo,I say
estranho,strange
maior,bigger
velho,old
faço,I make
boca,mouth
houve,there was
festa,party
estavam,they were
fala,he speaks
mulheres,women
conhece,do you know
ouvi,I heard
tirar,to throw
esperando,waiting
podia,could
licença,license
capitão,captain
preocupe,worry
comer,eat
fácil,easy
deixa,he leaves
novamente,again
além,in addition
irmã,sister
meses,months
eram,they were
suficiente,enough
pais,country
segundo,second
sabemos,We know
muitas,lots of
cinco,five
bebê,baby
matou,killed
querido,Dear
muita,many
idéia,idea
saia,skirt
muitos,many
número,number
vê,bum
deixou,he left
conseguir,get
lembra,remember
dessa,of that
morreu,he died
tomar,to take
the,The
bastante,quite
neste,in this
maneira,manner
quatro,four
filhos,children
acontecer,to happen
criança,child
dormir,to sleep
durante,during
possa,be likely to
desse,of that
vindo,coming
certa,certain
